Lake,County,Nearby town,Size (acres),Littoral zone (acres),Max depth (ft),Water clarity (ft),MNDNR Code,Notes
Kraft,Morrison,Randall,10.0,10.0,,,,
Krays,Stearns,Cold Spring,95.08,82.0,40.0,2.3,,
Kreatz,Hennepin,Plymouth,10.0,,,,,
Kreigle,Stearns,Avon,102.08,63.0,66.0,12.0,,
Krilwitz,Aitkin,Waldeck,15.0,15.0,12.0,11.968,,
Kroon,Chisago,Lindstrom,192.0,150.0,30.0,6.2,,
Kuhl,Morrison,Flensburg,,,,,,
Kurtz Pond,Morrison,Hillman,,,,,,
Kvernmo Marsh,Lincoln,Hendricks,47.0,47.0,7.0,2.3,,
La,Washington,Newport,44.0,44.0,10.0,4.0,,
La Salle,Hubbard,Becida,238.0,16.0,213.0,,,
Lace,Cook,Maple Hill,25.0,25.0,8.0,8.0,,
Lac qui Parle,Lac qui Parle,Milan,5589.0,5589.0,15.0,,,
Lacey,Otter Tail,Dalton,91.0,91.0,,1.5,,
Lady,Todd,Grey Eagle,207.0,68.0,62.0,10.0,,
Lady Slipper,Lyon,Cottonwood,247.0,247.0,11.0,1.18,,
Lagerquist,Morrison,Randall,31.64,13.0,49.0,12.1,,
Lake,Crow Wing,Mission,23.0,23.0,9.0,8.5,,
Lake 0a,Douglas,Belle River,21.0,21.0,,2.6,,
Lake 0a,Wright,Monticello,25.0,25.0,,2.88,,
Lake 0aa,St Louis,Kelly Lake,199.0,199.0,8.0,6.0,,
Lake 0bb,St Louis,Kelly Lake,81.0,81.0,8.0,5.8,,
Lake 0d,Todd,Long Prairie,20.0,20.0,,3.3,,
Lake 0q,St Louis,Grant,44.0,44.0,,6.7,,
Lake 0z,St Louis,Kelly Lake,124.0,124.0,5.0,7.8,,
Lake 1,Douglas,Osakis,51.0,51.0,,5.2,,
Lake 1,Itasca,Cohasset,50.0,50.0,,13.8,,
Lake 1,Stearns,Brooten,31.0,31.0,9.0,6.6,,
Lake 2,Benton,Duelm,30.0,30.0,,1.86,,
Lake 2,Morrison,Hillman,,,,,,
Lake 3,Benton,Sauk Rapids,,,,,,
Lake 3,Otter Tail,Miltona,29.0,29.0,,1.6,,
Lake 4,Sherburne,Elk River,5.0,5.0,,4.19,,
Lake 4,Wright,Otsego,,,,,,
Lake 5,Wright,Otsego,,,,,,
Lake 6,Benton,Rice,,,,,,
Lake 6,Meeker,Dassel,48.0,48.0,,3.8,,
Lake 6,Sherburne,Elk River,8.0,8.0,,5.78,,
Lake 6,Wright,Otsego,,,,,,
Lake 7,Meeker,Dassel,,,,,,
Lake 7,Wright,Otsego,18.0,18.0,,3.24,,
Lake 8,Benton,Watab,,,,,,
Lake 8,Kandiyohi,Atwater,20.0,20.0,,3.0,,
Lake 8,Wright,Otsego,25.0,25.0,,2.05,,
Lake 9,Kandiyohi,Atwater,17.0,17.0,,3.0,,
Lake 9,Meeker,Dassel,122.0,122.0,,4.09,,
Lake 9,Sherburne,Elk River,31.0,31.0,,,,
Lake 10,Benton,Sartell,,,,,,
Lake 10,Morrison,Onamia,21.0,21.0,,9.18,,
Lake 11,Kandiyohi,Cosmos,12.0,12.0,,3.0,,
Lake 11,Sherburne,Elk River,,,,,,
Lake 12,Meeker,Lamson,,,,,,
Lake 14,Benton,Royalton,15.0,15.0,,3.75,,
Lake 14,Todd,Staples,5.0,5.0,,3.3,,
Lake 14,Todd,Staples,36.0,36.0,,3.3,,
Lake 15,Wadena,Huntersville,43.0,43.0,,2.3,,
Lake 16,Stearns,Fairhaven,22.0,22.0,8.0,3.0,,
Lake 16,Wadena,Huntersville,52.0,52.0,,1.3,,
Lake 17,Stearns,Lynden,48.0,48.0,7.0,3.6,,
Lake 17,Wadena,Huntersville,39.0,39.0,,1.3,,
Lake 18,Sherburne,Zimmerman,35.0,35.0,,6.72,,
Lake 18,Stearns,Fairhaven,23.0,23.0,12.0,7.2,,
Lake 19,Kandiyohi,Cosmos,22.0,22.0,,2.6,,
Lake 19,Mille Lacs,Vineland,21.0,21.0,,5.25,,
Lake 19,Sherburne,Zimmerman,,,,,,
Lake 20,Sherburne,Zimmerman,,,,,,
Lake 22,Benton,Rice,,,,,,
Lake 23,Benton,Sauk Rapids,,,,,,
Lake 24,Wright,Hanover,31.0,31.0,,3.77,,
Lake 25,Benton,Sauk Rapids,11.0,11.0,26.0,,,
Lake 25,Sherburne,Zimmerman,,,,,,
Lake 25,Wadena,Menahga,18.0,18.0,,2.6,,
Lake 26,Douglas,Belle River,33.0,33.0,,3.3,,
Lake 26,Sherburne,Zimmerman,,,,,,
Lake 27,Sherburne,Crown,30.0,30.0,,7.08,,
Lake 27,Stearns,St Augusta,9.0,9.0,8.0,3.0,,
Lake 28,Stearns,St Augusta,27.0,27.0,8.0,3.8,,
Lake 30,Wright,Buffalo,,,,,,
Lake 32,Douglas,Miltona,59.0,59.0,,3.3,,
Lake 32,Sherburne,Lake Fremont,12.0,12.0,,7.54,,
Lake 33,Wright,Delano,13.0,13.0,,5.19,,
Lake 35,Sherburne,Lake Fremont,,,,,,
Lake 35,Wadena,Menahga,13.0,13.0,,7.9,,
Lake 35,Wright,Delano,11.0,11.0,,6.45,,
Lake 36,Wadena,Menahga,33.0,33.0,,4.6,,
Lake 37,Sherburne,Crown,,,,,,
Lake 38,Douglas,Miltona,10.0,10.0,,4.3,,
Lake 38,Sherburne,Crown,12.0,12.0,,2.3,,
Lake 39,Douglas,Nelson,38.0,38.0,,2.3,,
Lake 39,Stearns,Maine Prairie,15.0,15.0,,3.0,,
Lake 39,Wright,Montrose,,,,,,
Lake 40,Stearns,Maine Prairie,18.0,18.0,,6.0,,
Lake 41,Meeker,Kingston,,,,,,
Lake 41,Stearns,Watkins,,,,,,
Lake 42,Sherburne,Lake Fremont,16.0,16.0,,5.44,,
Lake 42,Wright,Rockford,,,,,,
Lake 43,Douglas,Forada,28.0,28.0,,5.2,,
Lake 43,Wright,Rockford,46.0,46.0,,5.03,,
Lake 47,Meeker,Darwin,45.0,45.0,,4.08,,
Lake 47,Wright,Buffalo,21.0,21.0,,3.24,,
Lake 48,Douglas,Forada,39.0,39.0,,1.3,,
Lake 48,Sherburne,Lake Fremont,,,,,,
Lake 49,Sherburne,Lake Fremont,,,,,,
Lake 50,Sherburne,Lake Fremont,,,,,,
Lake 50,Stearns,Marty,25.0,25.0,8.0,7.0,,
Lake 50,Wadena,Huntersville,46.0,46.0,,3.3,,
Lake 51,Sherburne,Lake Fremont,,,,,,
Lake 52,Wright,Buffalo,13.0,13.0,,6.33,,
Lake 53,Morrison,Randall,15.0,15.0,,,,
Lake 53,Otter Tail,Dear Creek,79.0,79.0,,2.6,,
Lake 54,Sherburne,Lake Fremont,15.0,15.0,,4.59,,
Lake 54,Stearns,Rockville,31.0,31.0,,6.4,,
Lake 56,Stearns,Rockville,,,,,,
Lake 57,Wright,Buffalo,,,,,,
Lake 58,Wright,Buffalo,,,,,,
Lake 59,Douglas,Carlos,26.0,26.0,,4.9,,
Lake 59,Kandiyohi,Spicer,9.0,9.0,,1.6,,
Lake 59,Morrison,Pillager,13.0,13.0,,9.4,,
Lake 59,Wright,Buffalo,,,,,,
Lake 62,Wright,Buffalo,37.0,37.0,,1.94,,
Lake 63,Douglas,Carlos,20.0,20.0,,2.0,,
Lake 64,Douglas,Carlos,13.0,13.0,,2.0,,
Lake 65,Benton,Sartell,,,,,,
Lake 65,Douglas,Carlos,12.0,12.0,,1.3,,
Lake 65,Meeker,Jennie,,,,,,
Lake 65,Wright,Enfield,65.0,65.0,,5.25,,
Lake 70,Sherburne,Orrock,15.0,15.0,,3.61,,
Lake 71,Todd,Lincoln,17.0,17.0,,7.5,,
Lake 74,Sherburne,Elk River,,,,,,
Lake 75,Douglas,Leaf Valley,34.0,34.0,,3.0,,
Lake 75,Sherburne,Orrock,,,,,,
Lake 75,Wright,Monticello,34.0,34.0,,2.33,,
Lake 76,Morrison,Pillager,,,,,,
Lake 76,Sherburne,Zimmerman,14.0,14.0,,3.8,,
Lake 77,Morrison,Pillager,15.0,15.0,27.0,4.9,,
Lake 77,Sherburne,Princeton,22.0,22.0,,,,
Lake 77,Wright,Monticello,18.0,18.0,,5.81,,
Lake 79,Meeker,Litchfield,21.0,21.0,,2.0,,
Lake 79,Sherburne,Orrock,,,,,,
Lake 79,Wright,Monticello,,,,,,
Lake 80,Wright,Monticello,,,,,,
Lake 81,Wright,Monticello,15.0,15.0,,3.28,,
Lake 83,Wright,Monticello,13.0,13.0,5.0,,,
Lake 84,Wright,Monticello,24.0,24.0,,2.33,,
Lake 86,Sherburne,Orrock,,,,,,
Lake 87,Sherburne,Orrock,,,,9.68,,
Lake 88,Morrison,Swanville,24.0,24.0,,2.95,,
Lake 89,Kandiyohi,Cosmos,13.0,13.0,,2.0,,
Lake 96,Morrison,Flensburg,16.0,16.0,,3.77,,
Lake 99,Douglas,Garfield,25.0,25.0,,1.3,,
Lake 100,Morrison,Lincoln,17.0,17.0,,12.8,,
Lake 106,Morrison,Randall,38.0,38.0,,10.0,,
Lake 106,Sherburne,Becker,29.0,29.0,,4.56,,
Lake 107,Morrison,Randall,,,,,,
Lake 110,Kandiyohi,Spicer,7.0,7.0,,3.6,,
Lake 111,Kandiyohi,Spicer,31.0,31.0,,1.0,,
Lake 111,Morrison,Randall,,,,,,
Lake 111,Wright,Highland,24.0,24.0,,2.91,,
Lake 112,Morrison,Randall,12.0,12.0,,9.9,,
Lake 113,Morrison,Randall,,,,,,
Lake 113,Wright,Highland,,,,,,
Lake 114,Morrison,Randall,11.0,11.0,,10.8,,
Lake 114,Sherburne,Santiago,,,,,,
Lake 115,Sherburne,Santiago,,,,,,
Lake 115,Wright,Highland,12.0,12.0,,3.08,,
Lake 116,Douglas,Leaf Valley,18.0,18.0,,1.6,,
Lake 116,Morrison,Lincoln,,,,,,
Lake 117,Sherburne,Briggs Lake,8.0,8.0,,5.25,,
Lake 117,Wright,Buffalo,,,,,,
Lake 118,Kandiyohi,Spicer,19.0,19.0,,2.6,,
Lake 118,Wright,Maple Lake,,,7.0,,,
Lake 119,Douglas,Carlos,24.0,24.0,,5.2,,
Lake 119,Morrison,Lincoln,8.0,8.0,,8.5,,
Lake 120,Morrison,Lincoln,24.0,24.0,,5.2,,
Lake 122,Douglas,Garfield,36.0,36.0,,2.3,,
Lake 122,Sherburne,Clear Lake,19.0,19.0,,4.41,,
Lake 123,Kandiyohi,Spicer,10.0,10.0,,2.0,,
Lake 123,Morrison,Lincoln,20.0,20.0,,5.3,,
Lake 124,Morrison,Lincoln,,,,,,
Lake 124,Sherburne,Clear Lake,,,,,,
Lake 125,Morrison,Lincoln,,,,,,
Lake 126,Meeker,Greenleaf,73.0,73.0,,2.6,,
Lake 126,Todd,Long Prairie,29.0,29.0,,6.2,,
Lake 127,Kandiyohi,Spicer,12.0,12.0,,5.6,,
Lake 127,Sherburne,Clear Lake,32.0,32.0,,4.53,,
Lake 128,Kandiyohi,Spicer,10.0,10.0,,1.3,,
Lake 128,Meeker,Greenleaf,15.0,15.0,,2.3,,
Lake 128,Sherburne,Clear Lake,25.0,25.0,,2.92,,
Lake 129,Kandiyohi,Spicer,13.0,13.0,,2.3,,
Lake 130,Sherburne,Clear Lake,12.0,12.0,,5.37,,
Lake 130,Wright,Buffalo,,,,,,
Lake 131,Douglas,Leaf Valley,23.0,23.0,,5.2,,
Lake 131,Sherburne,Clear Lake,,,,4.87,,
Lake 132,Kandiyohi,Spicer,26.0,26.0,,2.6,,
Lake 132,Morrison,Lincoln,,,,,,
Lake 134,Morrison,Lincoln,,,,,,
Lake 134,Sherburne,Clear Lake,34.0,34.0,,4.56,,
Lake 135,Douglas,Leaf Valley,17.0,17.0,,3.3,,
Lake 135,Wright,Enfield,,,,,,
Lake 136,Sherburne,Clear Lake,7.0,7.0,,3.54,,
Lake 136,Wright,Enfield,,,,5.74,,
Lake 137,Douglas,Leaf Valley,17.0,17.0,,1.6,,
Lake 137,Sherburne,Clear Lake,37.0,37.0,,4.12,,
Lake 138,Morrison,Lincoln,,,,,,
Lake 138,Sherburne,Clear Lake,33.0,33.0,,4.26,,
Lake 138,Wright,Silver Creek,,,,,,
Lake 139,Douglas,Leaf Valley,24.0,24.0,,6.6,,
Lake 139,Meeker,Litchfield,71.0,71.0,,2.4,,
Lake 139,Morrison,Lincoln,,,,,,
Lake 139,Sherburne,Clear Lake,8.0,8.0,,3.57,,
Lake 141,Wright,Silver Creek,,,,,,
Lake 143,Wright,Silver Creek,,,,,,
Lake 144,Morrison,Harding,,,,,,
Lake 144,Sherburne,Duelm,26.0,26.0,,5.78,,
Lake 144,Wright,Enfield,,,,,,
Lake 145,Kandiyohi,New London,8.0,8.0,,4.6,,
Lake 145,Wright,Silver Creek,,,,,,
Lake 146,Morrison,Fort Ripley,,,,,,
Lake 146,Stearns,Richmond,,,,,,
Lake 147,Morrison,Fort Ripley,,,,,,
Lake 149,Morrison,Randall,,,,,,
Lake 149,Wright,Silver Creek,,,,,,
Lake 150,Morrison,Randall,,,,,,
Lake 150,Wright,Maple Lake,,,,,,
Lake 151,Kandiyohi,New London,14.0,14.0,,5.6,,
Lake 151,Morrison,Randall,8.0,8.0,,,,
Lake 151,Sherburne,Clearwater,8.0,8.0,,5.9,,
Lake 151,Wright,Maple Lake,,,,,,
Lake 152,Morrison,Hillman,,,,,,
Lake 152,Sherburne,Clearwater,121.0,121.0,,4.82,,
Lake 154,Morrison,Royalton,,,,,,
Lake 154,Sherburne,Clear Lake,49.0,49.0,,4.66,,
Lake 154,Wright,Maple Lake,16.0,16.0,,4.55,,
Lake 155,Kandiyohi,Spicer,13.0,13.0,,2.0,,
Lake 155,Sherburne,Clear Lake,71.0,71.0,,3.97,,
Lake 155,Todd,Sauk Centre,16.0,16.0,,4.3,,
Lake 156,Sherburne,Clearwater,11.0,11.0,,5.25,,
Lake 157,Todd,Sauk Centre,44.0,44.0,,2.3,,
Lake 158,Morrison,Royalton,,,,,,
Lake 158,Wright,Maple Lake,9.0,9.0,,5.51,,
Lake 159,Wright,Maple Lake,,,,,,
Lake 160,Sherburne,St Cloud,,,,,,
Lake 160,Wright,Maple Lake,,,,,,
Lake 162,Sherburne,Clear Lake,,,,,,
Lake 163,Sherburne,Clear Lake,10.0,10.0,,4.59,,
Lake 164,Morrison,Burtrum,,,,,,
Lake 164,Sherburne,Clear Lake,,,,,,
Lake 165,Morrison,Burtrum,,,,,,
Lake 165,Sherburne,Clear Lake,24.0,24.0,,3.83,,
Lake 165,Wright,Hasty,38.0,38.0,,2.3,,
Lake 166,Sherburne,Clear Lake,12.0,12.0,,3.8,,
Lake 166,Wright,Hasty,,,,,,
Lake 167,Morrison,Sobieski,,,,,,
Lake 169,Wright,Silver Creek,,,,,,
Lake 170,Morrison,Burtrum,,,,,,
Lake 172,Sherburne,Lake Fremont,,,,,,
Lake 172,Wright,Hasty,91.0,91.0,,5.14,,
Lake 173,Morrison,Hillman,,,,,,
Lake 173,Sherburne,Crown,9.0,9.0,,4.03,,
Lake 173,Wright,Silver Creek,,,,,,
Lake 174,Sherburne,Elk River,,,,,,
Lake 175,Sherburne,Zimmerman,,,,,,
Lake 175,Wright,Emfield,7.0,7.0,,4.92,,
Lake 176,Sherburne,Orrock,,,,,,
Lake 177,Sherburne,Orrock,,,,,,
Lake 178,Sherburne,Orrock,,,,,,
Lake 179,Sherburne,Orrock,,,,,,
Lake 180,Sherburne,Orrock,,,,,,
Lake 181,Sherburne,Orrock,,,,,,
Lake 182,Morrison,Pine Center,,,,,,
Lake 182,Sherburne,Orrock,,,,,,
Lake 183,Sherburne,Orrock,,,,,,
Lake 183,Todd,West Union,39.0,39.0,,1.3,,
Lake 185,Morrison,Harding,,,,,,
Lake 185,Sherburne,Princeton,6.0,6.0,,0.56,,
Lake 187,Sherburne,Orrock,,,,2.16,,
Lake 189,Morrison,Pine Center,,,,,,
Lake 189,Sherburne,Orrock,,,,4.69,,
Lake 189,Todd,West Union,15.0,15.0,,2.3,,
Lake 189,Wright,Howard Lake,13.0,13.0,,4.96,,
Lake 190,Sherburne,Zimmerman,,,,,,
Lake 191,Morrison,Morrill,,,,,,
Lake 192,Morrison,Pierz,,,,,,
Lake 192,Sherburne,Zimmerman,,,,,,
Lake 194,Douglas,Garfield,43.0,43.0,,2.6,,
Lake 194,Kandiyohi,Pennock,46.0,46.0,,2.0,,
Lake 195,Douglas,Garfield,18.0,18.0,,2.6,,
Lake 196,Morrison,Pierz,,,,,,
Lake 196,Todd,Osakis,30.0,30.0,,3.9,,
Lake 196,Wright,Rice Lake,25.0,25.0,,3.98,,
Lake 197,Sherburne,Santiago,,,,,,
Lake 197,Todd,Long Prairie,40.0,40.0,,2.0,,
Lake 198,Sherburne,Briggs Lake,,,,,,
Lake 200,Kandiyohi,Willmar,9.0,9.0,,3.6,,
Lake 201,Wright,Rassat,13.0,13.0,,2.43,,
Lake 202,Sherburne,Clear Lake,,,,,,
Lake 202,Todd,Long Prairie,31.0,31.0,,1.3,,
Lake 203,Wright,Highland,111.0,111.0,,1.8,,
Lake 205,Cass,Sylvan,13.0,13.0,,5.2,,
Lake 206,Sherburne,Briggs Lake,,,,,,
Lake 208,Cass,Sylvan,78.0,78.0,,8.5,,
Lake 208,Sherburne,Santiago,,,,,,
Lake 210,Sherburne,Clear Lake,,,,,,
Lake 213,Sherburne,Clear Lake,,,,,,
Lake 213,Todd,Hewitt,10.0,10.0,,2.6,,
Lake 216,Sherburne,Clear Lake,,,,,,
Lake 217,Morrison,Pierz,44.0,44.0,,4.74,,
Lake 219,Morrison,Little Falls,,,,,,
Lake 220,Morrison,Pierz,,,,,,
Lake 222,Kandiyohi,New London,29.0,29.0,,5.2,,
Lake 222,Wright,Annandale,,,,,,
Lake 225,Sherburne,Zimmerman,,,,,,
Lake 225,Wright,Maple Lake,28.0,28.0,,2.89,,
Lake 226,Kandiyohi,Norway Lake,18.0,18.0,,4.6,,
Lake 226,Morrison,Randall,,,,,,
Lake 228,Wright,Annandale,,,,,,
Lake 231,Wright,Annandale,,,,,,
Lake 232,Wright,Maple Lake,,,,,,
Lake 233,Morrison,Randall,,,,,,
Lake 234,Morrison,Randall,,,,,,
Lake 235,Kandiyohi,Norway Lake,11.0,11.0,,5.2,,
Lake 235,Wright,Clearwater,,,,,,
Lake 236,Kandiyohi,Norway Lake,95.0,95.0,,5.2,,
Lake 236,Wright,Hasty,17.0,17.0,,2.66,,
Lake 237,Kandiyohi,Norway Lake,10.0,10.0,,4.3,,
Lake 237,Sherburne,Becker,30.0,30.0,,2.7,,
Lake 237,Wright,Clearwater,,,,,,
Lake 238,Sherburne,Elk River,,,,,,
Lake 239,Kandiyohi,Norway Lake,24.0,24.0,,7.5,,
Lake 239,Morrison,Pillager,,,,,,
Lake 240,Morrison,Pillager,,,,,,
Lake 240,Stearns,Melrose,12.0,12.0,,5.2,,
Lake 240,Wright,Hasty,,,,,,
Lake 241,Morrison,Pillager,,,,,,
Lake 241,Morrison,Pillager,,,,,,
Lake 242,Morrison,Pillager,,,,,,
Lake 244,Wright,Clearwater,44.0,44.0,10.0,3.6,,
Lake 245,Wright,Annandale,,,,,,
Lake 246,Morrison,Lincoln,,,,,,
Lake 247,Kandiyohi,Pennock,22.0,22.0,,0.7,,
Lake 247,Morrison,Lincoln,,,,,,
Lake 247,Stearns,Greenwald,36.0,36.0,,2.6,,
Lake 248,Morrison,Lincoln,,,,,,
Lake 248,Wright,Hasty,,,,,,
Lake 249,Morrison,Lincoln,,,,,,
Lake 249,Stearns,Clearwater,7.0,7.0,,,,
Lake 252,Kandiyohi,Norway Lake,18.0,18.0,,4.9,,
Lake 252,Morrison,Cushing,,,,,,
Lake 254,Stearns,Greenwald,37.0,37.0,,9.5,,
Lake 255,Morrison,Randall,,,,,,
Lake 258,Meeker,Casey,,,,,,
Lake 261,Stearns,Greenwald,51.0,51.0,,1.0,,
Lake 261,Wright,Knapp,44.0,44.0,,2.19,,
Lake 262,Stearns,Sauk Centre,31.0,31.0,,1.3,,
Lake 262,Wright,Knapp,,,,,,
Lake 264,Meeker,Greenleaf,24.0,24.0,,4.3,,
Lake 264,Morrison,Flensburg,,,,,,
Lake 264,Stearns,Sauk Centre,28.0,28.0,,1.6,,
Lake 266,Morrison,Flensburg,,,,,,
Lake 267,Morrison,Flensburg,,,,,,
Lake 268,Wright,Annandale,55.0,55.0,7.0,3.95,,
Lake 269,Wright,French Lake,,,,,,
Lake 270,Morrison,Johnson,,,,,,
Lake 270,Wright,French Lake,,,,,,
Lake 271,Stearns,Sauk Centre,13.0,13.0,,6.9,,
Lake 271,Todd,Burtrum,12.0,12.0,,13.1,,
Lake 272,Wright,French Lake,,,,,,
Lake 275,Stearns,Sauk Centre,36.0,36.0,,2.0,,
Lake 277,Meeker,Lamson,,,,,,
Lake 277,Morrison,Burtrum,,,,,,
Lake 277,Wright,French Lake,10.0,10.0,,3.72,,
Lake 278,Morrison,Elmdale,,,,,,
Lake 280,Kandiyohi,Raymond,25.0,25.0,,4.9,,
Lake 281,Morrison,Upsala,,,,,,
Lake 282,Morrison,Upsala,,,,,,
Lake 283,Morrison,Randall,33.0,33.0,,10.3,,
Lake 283,Wright,South Haven,,,,,,
Lake 285,Wright,Fairhaven,21.0,21.0,,,,
Lake 286,Morrison,Buckman,,,,,,
Lake 287,Morrison,Buckman,,,,,,
Lake 291,Wright,South Haven,,,,,,
Lake 292,Sherburne,Orrock,34.0,34.0,,4.4,,
Lake 294,Sherburne,Zimmerman,,,,,,
Lake 295,Sherburne,Zimmerman,,,,,,
Lake 296,Sherburne,Zimmerman,9.0,9.0,,4.03,,
Lake 297,Sherburne,Orrock,,,,,,
Lake 297,Stearns,Maine Prairie,10.0,10.0,6.0,6.0,,
Lake 299,Morrison,Royalton,,,,,,
Lake 300,Kandiyohi,Pennock,22.0,22.0,,5.6,,
Lake 300,Morrison,Royalton,,,,,,
Lake 301,Wright,Monticello,22.0,22.0,,8.07,,
Lake 302,Wright,Otsego,,,,,,
Lake 303,Cass,Sylvan,51.0,51.0,,8.2,,
Lake 304,Morrison,Lincoln,,,,,,
Lake 305,Wright,Buffalo,,,,,,
Lake 307,Kandiyohi,Sunburg,98.0,98.0,,4.3,,
Lake 308,Kandiyohi,Sunburg,6.0,6.0,,2.0,,
Lake 308,Morrison,Flensburg,,,,,,
Lake 309,Wright,Buffalo,,,,,,
Lake 310,Sherburne,Orrock,,,,,,
Lake 311,Sherburne,Orrock,,,,,,
Lake 311,Wright,French Lake,,,,,,
Lake 312,Sherburne,Santiago,,,,,,
Lake 312,Stearns,Fairhaven,22.0,22.0,17.0,6.9,,
Lake 312,Wright,French Lake,,,,,,
Lake 313,Wright,French Lake,,,,,,
Lake 315,Wright,Annandale,,,,,,
Lake 316,Stearns,Kimball,6.0,6.0,,,,
Lake 317,Stearns,Rockville,11.0,11.0,,,,
Lake 319,Cass,Sylvan,34.0,34.0,,4.9,,
Lake 319,Wright,Maple Lake,,,,,,
Lake 321,Wright,Annandale,,,,,,
Lake 323,Kandiyohi,Norway Lake,35.0,35.0,,2.0,,
Lake 323,Wright,Maple Lake,,,,,,
Lake 324,Kandiyohi,Norway Lake,38.0,38.0,,2.0,,
Lake 327,Wright,Buffalo,,,,,,
Lake 329,Meeker,Greenleaf,25.0,25.0,,10.5,,
Lake 330,Wright,Otsego,,,,,,
Lake 333,Stearns,Sauk Centre,21.0,21.0,,3.0,,
Lake 337,Kandiyohi,Sunburg,8.0,8.0,,3.9,,
Lake 337,Sherburne,Princeton,,,,,,
Lake 340,Kandiyohi,Sunburg,12.0,12.0,,7.2,,
Lake 341,Kandiyohi,Sunburg,31.0,31.0,,5.6,,
Lake 343,Wright,Maple Lake,,,,,,
Lake 346,Cass,Pine River,17.0,17.0,,2.0,,
Lake 351,Wright,Otsego,33.0,33.0,,1.59,,
Lake 352,Meeker,Greenleaf,30.0,30.0,,4.6,,
Lake 353,Wright,Silver Creek,,,,,,
Lake 355,Kandiyohi,Sunburg,31.0,31.0,,2.6,,
Lake 355,Wright,Hasty,,,,,,
Lake 360,Kandiyohi,Sunburg,16.0,16.0,,3.9,,
Lake 361,Wright,Maple Lake,,,,,,
Lake 362,Wright,Buffalo,,,,,,
Lake 366,Sherburne,Santiago,,,,,,
Lake 367,Sherburne,Orrock,,,,,,
Lake 370,Wright,Annandale,,,,,,
Lake 373,Kandiyohi,Sunburg,26.0,26.0,,5.6,,
Lake 380,Wright,Silver Creek,,,,,,
Lake 381,Wright,Silver Creek,,,,,,
Lake 384,Kandiyohi,Spicer,9.0,9.0,,1.3,,
Lake 387,Wright,Waverly,,,,,,
Lake 388,Wright,Hanover,10.0,10.0,,3.16,,
Lake 390,Kandiyohi,New London,11.0,11.0,,6.9,,
Lake 391,Kandiyohi,New London,16.0,16.0,,5.6,,
Lake 394,Wright,Monticello,31.0,31.0,,5.14,,
Lake 398,Wright,Silver Creek,,,,,,
Lake 400,Wright,Enfield,,,,,,
Lake 403,Wright,South Haven,,,,,,
Lake 406,Kandiyohi,Spicer,9.0,9.0,,2.0,,
Lake 407,Wright,Howard Lake,,,,,,
Lake 410,Cass,Pine River,36.0,36.0,,3.9,,
Lake 411,Wright,Silver Creek,20.0,20.0,,3.44,,
Lake 412,Douglas,Carlos,32.0,32.0,,1.3,,
Lake 412,Wright,Dayton,19.0,19.0,,6.13,,
Lake 416,Wright,Albertville,,,,,,
Lake 417,Kandiyohi,New London,4.0,4.0,,9.8,,
Lake 420,Stearns,Clearwater,,,,,,
Lake 421,Stearns,Clearwater,21.0,21.0,,,,
Lake 423,Wright,Buffalo,,,,,,
Lake 424,Kandiyohi,Sunburg,10.0,10.0,,5.9,,
Lake 424,Wright,Buffalo,,,,,,
Lake 425,Douglas,Alexandria,23.0,23.0,,4.6,,
Lake 425,Kandiyohi,Sunburg,22.0,22.0,,3.9,,
Lake 426,Wright,Saint Michael,9.0,9.0,,2.59,,
Lake 430,Stearns,Maine Prairie,8.0,8.0,12.0,7.0,,
Lake 436,Wright,Maple Lake,,,,,,
Lake 439,Wright,Montrose,,,,,,
Lake 442,Cass,Pine River,32.0,32.0,,6.6,,
Lake 442,Wright,Highland,,,,,,
Lake 448,Stearns,Richmond,,,,,,
Lake 450,Stearns,Richmond,,,,,,
Lake 451,Wright,Annandale,,,,,,
Lake 455,Wright,Annandale,,,,,,
Lake 456,Wright,Maple Lake,,,,,,
Lake 460,Wright,Albion Center,,,,,,
Lake 461,Wright,Rassat,,,,,,
Lake 472,Kandiyohi,Sunburg,5.0,5.0,,5.2,,
Lake 475,Wright,French Lake,,,,,,
Lake 477,Kandiyohi,Sunburg,11.0,11.0,,3.9,,
Lake 477,Wright,Annandale,,,,,,
Lake 479,Wright,French Lake,,,,,,
Lake 480,Stearns,Rockville,10.0,10.0,7.0,,,
Lake 483,Stearns,Rockville,,,,,,
Lake 485,Wright,Monticello,,,,,,
Lake 489,Stearns,Marty,,,,,,
Lake 489,Wright,Hasty,,,,,,
Lake 490,Stearns,Cold Spring,,,,,,
Lake 490,Wright,Hasty,,,,,,
Lake 491,Stearns,Marty,11.0,11.0,,,,
Lake 492,Wright,Annandale,,,,,,
Lake 497,Wright,Enfield,,,,,,
Lake 498,Cass,Motley,22.0,22.0,,13.1,,
Lake 498,Wright,Monticello,,,,,,
Lake 500,Wright,Maple Lake,,,3.0,0.0,,
Lake 501,Cass,Pine River,50.0,50.0,,7.9,,
Lake 504,Stearns,Sauk Centre,17.0,17.0,,8.5,,
Lake 513,Stearns,Richmond,,,,,,
Lake 514,Stearns,Richmond,,,,,,
Lake 514,Wright,Silver Creek,,,,,,
Lake 515,Wright,Silver Creek,,,,,,
Lake 516,Stearns,Cold Spring,,,,,,
Lake 516,Wright,Silver Creek,,,,,,
Lake 532,Stearns,Rockville,,,,,,
